epoch_ns	p99_us
1787124852139795686	11419647
1787124852262379206	10084351
1787124852487880950	11591679
1787124852568958022	10338303
1787124852650122603	11395071
1787124852773018815	9986047
1787124852875938876	9527295
1787124852939739662	10067967
1787124853042307851	11395071
1787124853127505230	11395071
1787124853235613155	9347071
1787124853325823002	10346495
1787124853443233074	11517951
1787124853526983249	10289151
1787124853651555224	9969663
1787124853715768234	10313727
1787124853841732361	10043391
1787124853905581441	9986047
1787124854011800618	10551295
1787124854174111513	10166271
1787124854276327790	11960319
1787124854382555403	10231807
1787124854488750630	10264575
1787124854572261596	9502719
1787124854697577779	10133503
1787124854778715419	10354687
1787124854839426006	10379263
1787124854981903135	10559487
1787124855086973460	12419071
1787124855168088591	10231807
1787124855269862585	10682367
1787124855374545805	10403839
1787124855457536887	10895359
1787124855559246013	12394495
1787124855640212631	12476415
1787124855744272592	10936319
1787124855847432173	12541951
1787124855929168936	12287999
1787124856031919695	10993663
1787124856153377490	10625023
1787124856214767576	12550143
1787124856318558989	10838015
1787124856403964268	12255231
1787124856486765764	11231231
1787124856590264915	10551295
1787124856671196485	12214271
1787124856814186034	12247039
1787124856895289401	12156927
1787124856998100154	10108927
1787124857102416434	10149887
1787124857186545278	13975551
1787124857287789369	10289151
1787124857392980207	10952703
1787124857476692296	12025855
1787124857579317172	10248191
1787124857641509284	12156927
1787124857805164317	10862591
1787124858007739067	10584063
1787124858150567246	10616831
1787124858212728438	11223039
1787124858414860866	14098431
1787124858519771423	10903551
1787124858580522634	10420223
1787124858685008447	12836863
1787124858786297277	10543103
1787124858889069187	12828671
1787124858990386407	11149311
1787124859071753200	11640831
1787124859153503461	10756095
1787124859275441562	13131775
1787124859417183611	10977279
1787124859501980372	13197311
1787124859604084260	11304959
1787124859689254498	13303807
1787124859790478427	11296767
1787124859894471593	10682367
1787124859955260658	11411455
1787124860077549670	12943359
1787124860141804842	11436031
1787124860251853648	11509759
1787124860355839358	12886015
1787124860458546892	10928127
1787124860543753347	11755519
1787124860688262334	15310847
1787124860770393741	12730367
1787124860853902014	10420223
1787124860984588079	10010623
1787124861068538072	11550719
1787124861193062580	8773631
1787124861294279194	10952703
1787124861387715344	13082623
1787124861494141844	11780095
1787124861597655653	13074431
1787124861702725532	11984895
1787124861787709188	10493951
1787124861851495506	13164543
1787124861997996660	11001855
1787124862081806521	15532031
1787124862163703540	10682367
1787124862266812236	15441919
1787124862369770481	10706943
1787124862472168505	13025279
1787124862576236324	10018815
1787124862657205078	13123583
1787124862781048668	10862591
1787124862864208244	13033471
1787124862968758201	10977279
1787124863072221190	13172735
1787124863155201888	9805823
1787124863237558838	13271039
1787124863549343205	11321343
1787124863691809154	15925247
1787124863814509578	12738559
1787124863896544137	11517951
1787124863977781865	13393919
1787124864099180221	13369343
1787124864182754027	13352959
1787124864265218136	12910591
1787124864386984998	13197311
1787124864491566222	12984319
1787124864595945923	13074431
1787124864697216312	13131775
1787124864780251670	13066239
1787124864881941876	13033471
1787124864963056162	13107199
1787124865066084267	12935167
1787124865148806237	12664831
1787124865316093581	11755519
1787124865376887265	13033471
1787124865481554148	11739135
1787124865564585104	12533759
1787124865645739850	13025279
1787124865768913667	12599295
1787124865891903154	11091967
1787124865952584594	13074431
1787124866074192595	16056319
1787124866159436769	13131775
1787124866282286332	12484607
1787124866343459615	12001279
1787124866426824751	11313151
1787124866529562541	13139967
1787124866631743290	12591103
1787124866733995403	12615679
1787124866816739710	12607487
1787124866898191978	13189119
1787124867004331321	11354111
1787124867085426114	10067967
1787124867188462598	16179199
1787124867290560049	12427263
1787124867351943381	13443071
1787124867474239749	11419647
1787124867575555695	13426687
1787124867636445226	12640255
1787124867760569075	12648447
1787124867828338057	13328383
1787124867953183430	12779519
1787124868036147128	13393919
1787124868161785419	12566527
1787124868244542558	13189119
1787124868329966100	12992511
1787124868435507625	12042239
1787124868542409282	13090815
1787124868647562932	13254655
1787124868730534803	13164543
1787124868823605379	13418495
1787124868928561457	11698175
1787124869015231439	13574143
