epoch_ns	iso_time	masters	autoscaling	standby	last_scale	sts_desired	sts_ready	cluster_state	cluster_size	known_nodes	slots_ok	slots_fail	action
1787125011465156666	2026-08-19T07:36:51.470719657Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125018671862727	2026-08-19T07:36:58.679544792Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125025925249815	2026-08-19T07:37:05.932322036Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125033255916477	2026-08-19T07:37:13.263741223Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125040894480106	2026-08-19T07:37:20.901597041Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125048474323438	2026-08-19T07:37:28.482700853Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125055191666228	2026-08-19T07:37:35.195375918Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125062542320426	2026-08-19T07:37:42.550658120Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125070398381628	2026-08-19T07:37:50.404494239Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125077474147808	2026-08-19T07:37:57.477815106Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125084901930713	2026-08-19T07:38:04.910473006Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125092657127413	2026-08-19T07:38:12.658821289Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125099342085344	2026-08-19T07:38:19.346885136Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125105977621687	2026-08-19T07:38:25.986018743Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125113223254196	2026-08-19T07:38:33.234386488Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125120468177769	2026-08-19T07:38:40.472096669Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125127450231454	2026-08-19T07:38:47.456589820Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125134391025112	2026-08-19T07:38:54.393190843Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125141792318829	2026-08-19T07:39:01.796126049Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125149430720374	2026-08-19T07:39:09.436549817Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	8	8	ok	4	8	16384	0	none
1787125156642313639	2026-08-19T07:39:16.661992616Z	3	true	redis-cluster-6	2026-08-16T01:08:21Z	10	8	ok	4	8	16384	0	none
1787125166152270135	2026-08-19T07:39:26.158891460Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	9	ok	4	8	16384	0	none
1787125175592051727	2026-08-19T07:39:35.610527730Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125184047971171	2026-08-19T07:39:44.068392391Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125192151984597	2026-08-19T07:39:52.172464733Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125200480691098	2026-08-19T07:40:00.488653346Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125208877152728	2026-08-19T07:40:08.884737488Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125217334672549	2026-08-19T07:40:17.346411977Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125225865795631	2026-08-19T07:40:25.872341478Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125234112455981	2026-08-19T07:40:34.121138604Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125241881691820	2026-08-19T07:40:41.889235964Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125250311047878	2026-08-19T07:40:50.318478409Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125258743822507	2026-08-19T07:40:58.751748803Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125267133277978	2026-08-19T07:41:07.140203425Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125275143492540	2026-08-19T07:41:15.150011313Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125283106889942	2026-08-19T07:41:23.116956456Z	4	true	redis-cluster-6	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125291117725903	2026-08-19T07:41:31.129324774Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125299780310643	2026-08-19T07:41:39.784153906Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125307836847206	2026-08-19T07:41:47.842667455Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125316316725848	2026-08-19T07:41:56.320651329Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125324454916973	2026-08-19T07:42:04.460559887Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125332383514340	2026-08-19T07:42:12.391674680Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125340680744419	2026-08-19T07:42:20.687107820Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125348965216020	2026-08-19T07:42:28.972418804Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125357047163369	2026-08-19T07:42:37.057108424Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125364965679310	2026-08-19T07:42:44.970257965Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125373106335855	2026-08-19T07:42:53.117639480Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125381069399207	2026-08-19T07:43:01.075193263Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125388970371697	2026-08-19T07:43:08.972123342Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125394614759270	2026-08-19T07:43:14.617012335Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125400258654265	2026-08-19T07:43:20.260449338Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125405900871525	2026-08-19T07:43:25.902768729Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125411541517575	2026-08-19T07:43:31.543265989Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125417187183321	2026-08-19T07:43:37.188977959Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125422832162962	2026-08-19T07:43:42.833928609Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125428481578262	2026-08-19T07:43:48.483400705Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125434126472007	2026-08-19T07:43:54.128286680Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125439772608838	2026-08-19T07:43:59.774385288Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125445412673001	2026-08-19T07:44:05.414478096Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125451057425876	2026-08-19T07:44:11.059163908Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125456701799173	2026-08-19T07:44:16.703581906Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125462348864513	2026-08-19T07:44:22.350652761Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125467997304606	2026-08-19T07:44:27.999088120Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125473648530028	2026-08-19T07:44:33.650330740Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125479292279943	2026-08-19T07:44:39.294090709Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125484932507343	2026-08-19T07:44:44.934288984Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125490575818210	2026-08-19T07:44:50.577978764Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125496228042187	2026-08-19T07:44:56.229884534Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125501869445967	2026-08-19T07:45:01.871232282Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125507513330948	2026-08-19T07:45:07.515132729Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125513151401812	2026-08-19T07:45:13.153576474Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125518793635301	2026-08-19T07:45:18.795625464Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125524436741720	2026-08-19T07:45:24.438565034Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125530080621478	2026-08-19T07:45:30.082429613Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125535718705688	2026-08-19T07:45:35.720597450Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125541365319479	2026-08-19T07:45:41.367107235Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125547021775592	2026-08-19T07:45:47.023591255Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125552664957736	2026-08-19T07:45:52.666795212Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125558315269156	2026-08-19T07:45:58.317127239Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125563965664600	2026-08-19T07:46:03.967465890Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125569606530239	2026-08-19T07:46:09.608351061Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125575250741800	2026-08-19T07:46:15.252642422Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125580890940493	2026-08-19T07:46:20.892774825Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125586537826561	2026-08-19T07:46:26.539958171Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125592183908933	2026-08-19T07:46:32.185708863Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125597828791160	2026-08-19T07:46:37.830629520Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125603472742857	2026-08-19T07:46:43.474552209Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125609124785108	2026-08-19T07:46:49.126989043Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125614774064993	2026-08-19T07:46:54.775747560Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125620413267579	2026-08-19T07:47:00.415080375Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125626055029948	2026-08-19T07:47:06.056698758Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125631697202425	2026-08-19T07:47:11.699084628Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125637337545930	2026-08-19T07:47:17.339383669Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125643007028566	2026-08-19T07:47:23.008707531Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125648646427917	2026-08-19T07:47:28.648127479Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125654292370866	2026-08-19T07:47:34.294167132Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
1787125659941369454	2026-08-19T07:47:39.943208179Z	4	true	redis-cluster-8	2026-08-19T07:39:18Z	10	10	ok	4	8	16384	0	none
